id,score_date,current_arr,future_arr,arr_change,fx_impact,seat_change_arr,product_change_arr
JMAN_13993883,2023-01-06,11466.12,19327.32,7680.24,180.96,2910.24,0.0
JMAN_9071046,2023-01-13,4086.6,4086.6,0.0,0.0,0.0,0.0
JMAN_9026440,2023-02-17,1480.56,1509.24,0.0,28.68,0.0,0.0
JMAN_2463960,2023-03-31,217.92,228.36,0.0,10.44,0.0,0.0
JMAN_10364413,2023-03-17,60.0,60.0,0.0,0.0,0.0,0.0
JMAN_2449317,2023-01-13,720.0,720.0,0.0,0.0,0.0,0.0
JMAN_2473478,2023-03-31,6369.72,6524.52,0.0,154.8,0.0,0.0
JMAN_2439200,2023-03-03,63.72,66.24,0.0,2.52,0.0,0.0
JMAN_2452274,2023-01-13,493.8,515.4,0.0,21.6,0.0,0.0
JMAN_18391348,2023-02-03,840.0,840.0,0.0,0.0,0.0,0.0
JMAN_2476016,2023-03-24,8916.0,108.0,-8808.0,0.0,-4956.0,-3252.0
JMAN_2453701,2023-03-10,3057.48,4384.56,1253.64,73.44,1253.856,0.0
JMAN_11265556,2023-03-10,6468.0,6468.0,0.0,0.0,0.0,0.0
JMAN_2468805,2023-03-17,324.0,396.0,72.0,0.0,0.0,0.0
JMAN_11200796,2023-03-17,5737.8,6774.6,771.48,349.08,0.0,0.0
JMAN_11118444,2023-01-27,16380.0,10591.926642995482,-16380.0,0.0,0.0,-16380.0
JMAN_9023120,2023-03-10,1308.0,1668.0,360.0,0.0,0.0,0.0
JMAN_9383192,2023-03-10,1452.0,10591.926642995482,-1452.0,0.0,0.0,-1452.0
JMAN_9803968,2023-03-17,2700.0,2700.0,0.0,0.0,0.0,0.0
JMAN_9031290,2023-01-13,1500.0,1500.0,0.0,0.0,0.0,0.0
JMAN_9029087,2023-03-10,9540.0,10591.926642995482,-9540.0,0.0,0.0,-9540.0
JMAN_2473827,2023-01-20,588.0,588.0,0.0,0.0,0.0,0.0
JMAN_9086153,2023-02-10,21480.0,10591.926642995482,-21480.0,0.0,0.12,-21480.0
JMAN_9003408,2023-03-24,420.0,10591.926642995482,-420.0,0.0,0.0,-420.0
JMAN_9014366,2023-03-31,768.0,768.0,0.0,0.0,0.0,0.0
JMAN_2448264,2023-02-24,9360.0,8424.0,-936.0,0.0,-936.0,-2052.0
JMAN_9026918,2023-03-17,72.6,76.08,0.0,3.48,0.0,0.0
JMAN_2463786,2023-01-27,1481.4,1819.32,272.88,65.04,0.0,0.0
JMAN_2461549,2023-01-20,5313.0,4607.28,-767.88,62.16,-767.88,0.0
JMAN_2465336,2023-02-03,1259.76,1284.12,0.0,24.36,0.0,0.0
JMAN_12472512,2023-02-10,5940.0,5940.0,0.0,0.0,0.0,0.0
JMAN_2469170,2023-03-17,15354.12,16091.64,0.0,737.52,0.0,0.0
JMAN_9037476,2023-02-03,3540.0,10591.926642995482,-3540.0,0.0,0.0,-3540.0
JMAN_2464850,2023-03-10,2178.84,1933.56,-348.72,103.44,0.0,0.0
JMAN_2457464,2023-03-31,2700.0,2976.0,276.0,0.0,0.0,0.0
JMAN_2447281,2023-02-03,2478.6,2916.0,437.4,0.0,0.0,0.0
JMAN_2457464,2023-01-27,2700.0,2928.0,228.0,0.0,0.0,0.0
JMAN_2450157,2023-01-13,5808.0,5808.0,0.0,0.0,0.0,0.0
JMAN_9027650,2023-01-13,3768.0,10591.926642995482,-3768.0,0.0,0.0,-3768.0
JMAN_9041676,2023-03-17,1968.0,10591.926642995482,-1968.0,0.0,0.0,-1968.0
JMAN_9014565,2023-03-31,228.0,228.0,0.0,0.0,0.0,0.0
JMAN_9036481,2023-02-24,1500.0,10591.926642995482,-1500.0,0.0,-900.0,-600.0
JMAN_9028070,2023-03-24,300.0,300.0,0.0,0.0,0.0,0.0
JMAN_2476152,2023-03-31,2295.12,2405.4,0.0,110.28,0.0,0.0
JMAN_18057083,2023-02-03,168.0,168.0,0.0,0.0,0.0,0.0
JMAN_9035528,2023-02-03,912.0,912.0,0.0,0.0,0.0,0.0
JMAN_2453581,2023-03-03,696.0,696.0,0.0,0.0,0.0,0.0
JMAN_2473799,2023-03-31,217.92,456.72,226.32,12.48,226.2,0.0
JMAN_2468805,2023-03-03,324.0,396.0,72.0,0.0,0.0,0.0
JMAN_2474070,2023-01-20,60.0,60.0,0.0,0.0,0.0,0.0
JMAN_11201598,2023-03-24,948.0,948.0,0.0,0.0,0.0,0.0
JMAN_2379983,2023-02-17,720.0,720.0,0.0,0.0,0.0,0.0
JMAN_2457132,2023-02-03,42240.0,42240.0,0.0,0.0,0.0,0.0
JMAN_18409956,2023-01-06,168.0,168.0,0.0,0.0,0.0,0.0
JMAN_18149360,2023-01-20,696.0,696.0,0.0,0.0,0.0,0.0
JMAN_18149360,2023-01-13,696.0,696.0,0.0,0.0,0.0,0.0
JMAN_17630843,2023-03-24,228.0,276.0,48.0,0.0,0.0,0.0
JMAN_9079368,2023-03-31,5232.0,6672.0,1440.0,0.0,0.0,0.0
JMAN_10592358,2023-03-10,53400.0,57138.0,3738.0,0.0,0.0,0.0
JMAN_9034089,2023-03-10,1068.0,1068.0,0.0,0.0,0.0,0.0
JMAN_18354320,2023-01-20,168.0,168.0,0.0,0.0,0.0,0.0
JMAN_9747161,2023-03-24,5340.0,5340.0,0.0,0.0,0.0,0.0
JMAN_9034647,2023-03-31,720.0,10591.926642995482,-720.0,0.0,0.0,-720.0
JMAN_9702646,2023-02-24,2904.0,3696.0,792.0,0.0,0.0,0.0
JMAN_9001490,2023-03-03,2640.0,2940.0,300.0,0.0,0.0,0.0
JMAN_10535735,2023-02-03,21000.0,22500.0,1500.0,0.0,0.0,0.0
JMAN_2454712,2023-02-03,300.0,300.0,0.0,0.0,0.0,0.0
JMAN_2453288,2023-02-17,960.0,5340.0,4380.0,0.0,1488.0,1380.0
JMAN_18410392,2023-01-27,228.0,168.0,-60.0,0.0,0.0,0.0
JMAN_2319823,2023-02-10,259.8,264.84,0.0,5.04,0.0,0.0
JMAN_9129318,2023-01-06,142795.92,107373.96,-36307.56,885.6,-36307.5827,0.0
JMAN_2481898,2023-03-17,912.0,912.0,0.0,0.0,0.0,0.0
JMAN_9004606,2023-01-06,3360.0,3360.0,0.0,0.0,0.0,0.0
JMAN_2475394,2023-02-24,3396.0,3732.0,336.0,0.0,0.0,0.0
JMAN_15078349,2023-02-24,441.48,450.12,0.0,529.44,0.0,0.0
JMAN_2481325,2023-03-10,2940.0,3528.0,588.0,0.0,588.0,0.0
JMAN_2396226,2023-02-24,116.88,145.68,26.52,2.28,0.0,0.0
